================ Training Loss (Mon May 27 10:09:40 2019) ================
(epoch: 13, iters: 200, time: 0.306, data: 0.002) D_A: 0.864 G_A: 1.635 cycle_A: 2.841 idt_A: 0.998 D_B: 0.552 G_B: 0.922 cycle_B: 1.960 idt_B: 1.194 
(epoch: 14, iters: 100, time: 0.302, data: 0.341) D_A: 1.077 G_A: 1.232 cycle_A: 1.435 idt_A: 1.198 D_B: 0.992 G_B: 0.640 cycle_B: 2.616 idt_B: 0.747 
(epoch: 14, iters: 200, time: 1.716, data: 0.002) D_A: 0.509 G_A: 1.285 cycle_A: 2.022 idt_A: 0.583 D_B: 0.379 G_B: 0.336 cycle_B: 2.391 idt_B: 1.012 
(epoch: 15, iters: 100, time: 0.303, data: 0.257) D_A: 0.947 G_A: 0.675 cycle_A: 4.348 idt_A: 0.965 D_B: 0.651 G_B: 0.718 cycle_B: 1.874 idt_B: 2.013 
(epoch: 15, iters: 200, time: 0.302, data: 0.002) D_A: 0.436 G_A: 1.412 cycle_A: 3.302 idt_A: 0.999 D_B: 0.796 G_B: 1.425 cycle_B: 2.161 idt_B: 1.687 
(epoch: 16, iters: 100, time: 0.299, data: 0.277) D_A: 0.624 G_A: 1.713 cycle_A: 2.499 idt_A: 1.383 D_B: 0.736 G_B: 0.318 cycle_B: 2.462 idt_B: 1.147 
(epoch: 16, iters: 200, time: 1.853, data: 0.002) D_A: 0.710 G_A: 0.573 cycle_A: 3.245 idt_A: 0.530 D_B: 0.388 G_B: 1.508 cycle_B: 1.499 idt_B: 1.148 
(epoch: 17, iters: 100, time: 0.300, data: 0.266) D_A: 0.735 G_A: 0.335 cycle_A: 2.362 idt_A: 0.579 D_B: 0.386 G_B: 0.582 cycle_B: 2.757 idt_B: 1.346 
(epoch: 17, iters: 200, time: 0.307, data: 0.002) D_A: 0.323 G_A: 0.795 cycle_A: 2.288 idt_A: 2.748 D_B: 0.372 G_B: 0.547 cycle_B: 5.307 idt_B: 1.016 
(epoch: 18, iters: 100, time: 0.312, data: 0.275) D_A: 0.184 G_A: 0.453 cycle_A: 1.837 idt_A: 0.962 D_B: 0.717 G_B: 0.583 cycle_B: 2.170 idt_B: 1.082 
(epoch: 18, iters: 200, time: 2.091, data: 0.002) D_A: 0.480 G_A: 0.694 cycle_A: 2.005 idt_A: 0.372 D_B: 0.880 G_B: 0.238 cycle_B: 0.831 idt_B: 1.044 
(epoch: 19, iters: 100, time: 0.307, data: 0.308) D_A: 1.012 G_A: 0.985 cycle_A: 3.043 idt_A: 1.041 D_B: 0.577 G_B: 0.528 cycle_B: 2.199 idt_B: 1.414 
(epoch: 19, iters: 200, time: 0.302, data: 0.002) D_A: 0.745 G_A: 1.579 cycle_A: 1.726 idt_A: 1.105 D_B: 0.877 G_B: 0.542 cycle_B: 2.880 idt_B: 0.790 
(epoch: 20, iters: 100, time: 0.302, data: 0.324) D_A: 0.853 G_A: 0.758 cycle_A: 3.300 idt_A: 1.189 D_B: 0.522 G_B: 0.850 cycle_B: 2.498 idt_B: 0.934 
(epoch: 20, iters: 200, time: 2.005, data: 0.002) D_A: 0.622 G_A: 0.748 cycle_A: 1.421 idt_A: 0.837 D_B: 0.315 G_B: 0.803 cycle_B: 1.717 idt_B: 0.742 
(epoch: 21, iters: 100, time: 0.298, data: 0.241) D_A: 0.630 G_A: 0.683 cycle_A: 2.352 idt_A: 0.587 D_B: 0.817 G_B: 0.532 cycle_B: 1.157 idt_B: 0.884 
(epoch: 21, iters: 200, time: 0.299, data: 0.002) D_A: 0.839 G_A: 0.301 cycle_A: 1.920 idt_A: 0.556 D_B: 0.616 G_B: 0.287 cycle_B: 1.494 idt_B: 1.025 
(epoch: 22, iters: 100, time: 0.300, data: 0.275) D_A: 0.814 G_A: 1.510 cycle_A: 1.713 idt_A: 1.868 D_B: 0.517 G_B: 0.495 cycle_B: 2.551 idt_B: 0.934 
(epoch: 22, iters: 200, time: 2.331, data: 0.002) D_A: 1.065 G_A: 0.385 cycle_A: 2.348 idt_A: 0.716 D_B: 0.879 G_B: 0.251 cycle_B: 1.444 idt_B: 1.335 
(epoch: 23, iters: 100, time: 0.300, data: 0.268) D_A: 0.411 G_A: 1.254 cycle_A: 1.671 idt_A: 1.291 D_B: 0.826 G_B: 0.850 cycle_B: 1.901 idt_B: 0.951 
